id,municipio,apodo,id_municipio_sepomex,id_estado
566,Juanacatlán,Juanacatlán,51,14
567,Chapala,Chapala,30,14
568,Poncitlán,Poncitlán,66,14
569,Zapotlán del Rey,Zapotlán del Rey,123,14
570,Huejuquilla el Alto,Huejuquilla el Alto,42,14
571,Mezquitic,Mezquitic,61,14
572,Villa Guerrero,Villa Guerrero,115,14
573,Bolaños,Bolaños,19,14
574,Totatiche,Totatiche,104,14
575,Colotlán,Colotlán,25,14
576,Santa María de los Ángeles,Santa María de los Ángeles,81,14
577,Huejúcar,Huejúcar,41,14
578,Chimaltitán,Chimaltitán,31,14
579,San Martín de Bolaños,San Martín de Bolaños,76,14
580,Tequila,Tequila,94,14
581,Hostotipaquillo,Hostotipaquillo,40,14
582,Magdalena,Magdalena,55,14
583,Etzatlán,Etzatlán,36,14
584,San Marcos,San Marcos,75,14
585,San Juanito de Escobedo,San Juanito de Escobedo,7,14
586,Ameca,Ameca,6,14
587,Ahualulco de Mercado,Ahualulco de Mercado,3,14
588,Teuchitlán,Teuchitlán,95,14
589,San Martín Hidalgo,San Martín Hidalgo,77,14
590,Guachinango,Guachinango,38,14
591,Mixtlán,Mixtlán,62,14
592,Mascota,Mascota,58,14
593,San Sebastián del Oeste,San Sebastián del Oeste,80,14
594,San Juan de los Lagos,San Juan de los Lagos,73,14
595,Jalostotitlán,Jalostotitlán,46,14
596,San Miguel el Alto,San Miguel el Alto,78,14
597,San Julián,San Julián,74,14
598,Arandas,Arandas,8,14
599,San Ignacio Cerro Gordo,San Ignacio Cerro Gordo,125,14
600,Teocaltiche,Teocaltiche,91,14
601,Villa Hidalgo,Villa Hidalgo,116,14
602,Encarnación de Díaz,Encarnación de Díaz,35,14
603,Yahualica de González Gallo,Yahualica de González Gallo,118,14
604,Mexticacán,Mexticacán,60,14
605,Cañadas de Obregón,Cañadas de Obregón,117,14
606,Valle de Guadalupe,Valle de Guadalupe,111,14
607,Lagos de Moreno,Lagos de Moreno,53,14
608,Ojuelos de Jalisco,Ojuelos de Jalisco,64,14
609,Unión de San Antonio,Unión de San Antonio,109,14
610,San Diego de Alejandría,San Diego de Alejandría,72,14
611,Tepatitlán de Morelos,Tepatitlán de Morelos,93,14
612,Tototlán,Tototlán,105,14
613,Atotonilco el Alto,Atotonilco el Alto,13,14
614,Ocotlán,Ocotlán,63,14
615,Jamay,Jamay,47,14
616,La Barca,La Barca,18,14
617,Ayotlán,Ayotlán,16,14
618,Jesús María,Jesús María,48,14
619,Degollado,Degollado,33,14
620,Unión de Tula,Unión de Tula,110,14
621,Ayutla,Ayutla,17,14
622,Atenguillo,Atenguillo,12,14
